train_acc,train_loss,valid_acc,valid_loss,train_error,valid_error
0.39416666666666667,1.5704166968663533,0.145,2.042400016784668,0.6058333333333333,0.855
0.58,1.213985594113668,0.145,2.1521513938903807,0.42000000000000004,0.855
0.6716666666666666,1.0536668435732524,0.145,2.2542982959747313,0.32833333333333337,0.855
0.7491666666666666,0.9462764151891072,0.145,2.443603210449219,0.25083333333333335,0.855
0.7758333333333334,0.8598554706573487,0.1475,2.520262575149536,0.22416666666666663,0.8525
0.8041666666666667,0.7895122989018758,0.23,2.5705671310424805,0.1958333333333333,0.77
0.8325,0.7226042731602986,0.175,2.9714111328125,0.16749999999999998,0.825
0.8608333333333333,0.667589225769043,0.1925,2.7129162979125976,0.13916666666666666,0.8075
0.89,0.6123719692230225,0.315,1.7809233093261718,0.10999999999999999,0.685
0.9158333333333334,0.5515632597605388,0.4125,1.5679096031188964,0.08416666666666661,0.5875
0.91,0.5340777858098348,0.455,1.4517241096496583,0.08999999999999997,0.5449999999999999
0.9175,0.5089265664418539,0.645,1.0025201797485352,0.08250000000000002,0.355
0.9391666666666667,0.4532903349399567,0.7225,0.8112347435951233,0.060833333333333295,0.27749999999999997
0.9541666666666667,0.40406413714090983,0.7275,0.7791502165794373,0.04583333333333328,0.27249999999999996
0.9625,0.3787057399749756,0.8225,0.6186620950698852,0.03749999999999998,0.1775
0.9675,0.3408964554468791,0.8925,0.5588133823871613,0.03249999999999997,0.10750000000000004
0.9733333333333334,0.32422821044921873,0.8525,0.5870148134231568,0.026666666666666616,0.14749999999999996
0.9758333333333333,0.2967151252428691,0.8925,0.46972466945648195,0.02416666666666667,0.10750000000000004
0.9716666666666667,0.3018667121728261,0.8925,0.4411918294429779,0.02833333333333332,0.10750000000000004
0.9766666666666667,0.2965897476673126,0.925,0.32427842915058136,0.023333333333333317,0.07499999999999996
0.9825,0.26459264198939003,0.9275,0.3277085518836975,0.01749999999999996,0.07250000000000001
0.9866666666666667,0.2321927269299825,0.885,0.4202787446975708,0.013333333333333308,0.11499999999999999
0.9866666666666667,0.233372536500295,0.915,0.3651380264759064,0.013333333333333308,0.08499999999999996
0.9833333333333333,0.23552335778872172,0.9425,0.30311341762542726,0.01666666666666672,0.057499999999999996
0.985,0.21298773050308228,0.8875,0.39340550303459165,0.015000000000000013,0.11250000000000004
0.9916666666666667,0.2113943290710449,0.9225,0.3300614607334137,0.008333333333333304,0.07750000000000001
0.995,0.19891292333602906,0.8475,0.5140825176239013,0.0050000000000000044,0.15249999999999997
0.995,0.17416781961917877,0.945,0.28287428617477417,0.0050000000000000044,0.05500000000000005
0.995,0.17869894385337828,0.905,0.37412883043289186,0.0050000000000000044,0.09499999999999997
0.9958333333333333,0.1656353372335434,0.945,0.2728636783361435,0.004166666666666652,0.05500000000000005
0.9916666666666667,0.15794794023036957,0.96,0.22922576427459718,0.008333333333333304,0.040000000000000036
0.995,0.1463472326596578,0.95,0.2735981577634811,0.0050000000000000044,0.050000000000000044
0.9941666666666666,0.14061623315016428,0.9125,0.33952321410179137,0.005833333333333357,0.08750000000000002
0.9875,0.16385933538277944,0.915,0.31703456938266755,0.012499999999999956,0.08499999999999996
0.9925,0.1671382337808609,0.8875,0.33545714020729067,0.007499999999999951,0.11250000000000004
0.9925,0.14976372788349787,0.95,0.22153437316417693,0.007499999999999951,0.050000000000000044
0.9983333333333333,0.10899628043174743,0.955,0.24613470315933228,0.0016666666666667052,0.04500000000000004
0.9925,0.12919631818930308,0.9125,0.3118543827533722,0.007499999999999951,0.08750000000000002
0.9891666666666666,0.14287761151790618,0.8725,0.4018503546714783,0.010833333333333361,0.12749999999999995
0.9966666666666667,0.12264718770980836,0.945,0.20986469566822052,0.0033333333333332993,0.05500000000000005
0.99,0.15578459560871125,0.9275,0.3012563520669937,0.010000000000000009,0.07250000000000001
0.9941666666666666,0.12933808048566184,0.955,0.22011946976184846,0.005833333333333357,0.04500000000000004
0.9925,0.11928758839766185,0.9275,0.32252950191497803,0.007499999999999951,0.07250000000000001
0.9958333333333333,0.10668393711249034,0.8975,0.36883910417556764,0.004166666666666652,0.10250000000000004
0.9933333333333333,0.12871830801169076,0.895,0.36565839290618896,0.00666666666666671,0.10499999999999998
0.9941666666666666,0.11458083073298136,0.955,0.23541931867599486,0.005833333333333357,0.04500000000000004
1.0,0.1027828586101532,0.95,0.1944369626045227,0.0,0.050000000000000044
0.9975,0.08195097456375758,0.9575,0.2235991334915161,0.0024999999999999467,0.04249999999999998
0.995,0.10094541440407435,0.945,0.2124657952785492,0.0050000000000000044,0.05500000000000005
0.9983333333333333,0.08255908767382304,0.9375,0.24093397200107575,0.0016666666666667052,0.0625
